SRC.LOGGER: 	Log cleared!
SRC.PARSE: 	Loading parsers and wordlists...
SRC.MAP: 	Loading tileset...
SRC.MAP: 	Tileset (gfx/standard_tileset.xml) was loaded sucessfully.
SRC.MAP: 	Loading map...
SRC.INVENTORY: 	Loaded test_map0-0-0, test_'s inventory.
SRC.INVENTORY: 	Loaded test_map1-0-0, hal_1's inventory.
SRC.INVENTORY: 	Loaded test_map2-0-0, alt_2's inventory.
SRC.INVENTORY: 	Loaded test_map3-0-0, stair's inventory.
SRC.INVENTORY: 	Loaded test_map3-0-1, attic's inventory.
SRC.INVENTORY: 	Loaded test_map3-0-2, attic's inventory.
SRC.INVENTORY: 	Loaded test_map2-0-2, attic's inventory.
SRC.INVENTORY: 	Loaded test_map3-1-2, attic's inventory.
SRC.INVENTORY: 	Loaded test_map4-0-0, alt_3's inventory.
SRC.INVENTORY: 	Loaded test_map0-1-0, hal_2's inventory.
SRC.INVENTORY: 	Loaded test_map1-1-0, tckdR's inventory.
SRC.INVENTORY: 	Loaded test_map2-1-0, spky1's inventory.
SRC.INVENTORY: 	Loaded test_map3-1-0, spky2's inventory.
SRC.INVENTORY: 	Loaded test_map4-1-0, eotLn's inventory.
SRC.INVENTORY: 	Loaded test_map0-2-0, tstR1's inventory.
SRC.INVENTORY: 	Loaded test_map1-2-0, tstR2's inventory.
SRC.INVENTORY: 	Loaded test_map2-2-0, spky3's inventory.
SRC.INVENTORY: 	Loaded test_map0-3-0, tstR3's inventory.
SRC.INVENTORY: 	Loaded test_map1-3-0, tstR4's inventory.
SRC.INVENTORY: 	Loaded test_map2-3-0, spky4's inventory.
SRC.INVENTORY: 	Loaded test_map2-4-0, clset's inventory.
SRC.MAP: 	Map (maps/test_map.xml) was loaded sucessfully.
SRC.INVENTORY: 	A was loaded from 0, player's inventory.
SRC.INVENTORY: 	B was loaded from 0, player's inventory.
SRC.INVENTORY: 	Loaded 0, player's inventory.
SRC.ENTITY: 	Created new entity @ 0,0,0 - 0, player
SRC.ENTITY: 	0, player moved e
SRC.ENTITY: 	0, player moved e
SRC.ENTITY: 	0, player moved s
SRC.ENTITY: 	0, player moved s
SRC.ENTITY: 	0, player moved s
SRC.ENTITY: 	0, player moved n
SRC.ENTITY: 	0, player moved n
SRC.ENTITY: 	0, player moved w
SRC.ENTITY: 	0, player moved s
SRC.ENTITY: 	0, player moved s
SRC.ENTITY: 	0, player moved n
SRC.ENTITY: 	0, player moved n
SRC.ENTITY: 	0, player moved nw
SRC.ENTITY: 	0, player moved e
SRC.ENTITY: 	0, player moved w
SRC.ENTITY: 	0, player moved s
SRC.ENTITY: 	0, player moved s
SRC.ENTITY: 	0, player moved e
SRC.ENTITY: 	0, player moved n
SRC.ENTITY: 	0, player moved e
SRC.ENTITY: 	0, player moved s
